BP_Code,Name,lat,lng
V000378,9 Koi Marketing Pte Ltd,1.3871788999999999,103.8272431
V000276,A*Star Research Entities,1.2996123,103.7875984
V000155,Accelerate Technologies Pte Ltd,1.2996123,103.7875984
V000712,Accucap MSC Sdn Bhd,3.1075064,101.6467674
V000003,ACE International Certification Pte Ltd,1.3310786000000001,103.7417689
V000364,Aceplas Pte Ltd,1.3586289,103.8335156
V000274,ACTC Translation Centre Pte Ltd,1.3374333,103.7573384
V000582,Adaptus Engineering Pte Ltd,1.3289412,103.8765411
V000250,Adcom Worldwide,1.352083,103.819836
V000154,Adecco,1.3062932,103.8318472
V000006,Adtech Innovation Services Pte Ltd,1.337059,103.89194
V000230,Advance Printing Pte Ltd,1.3218423,103.8759096
V000221,Advanet Pte Ltd,1.4423059999999999,103.8184676
V000091,Affinity Law LLC,1.2823508000000001,103.8510072
V000246,Afirmus Biosource Pte Ltd,1.312377,103.8629158
V000624,Aftershock PC Pte Ltd,1.3191737,103.8653791
V000002,"Agency for Science, Technology and Research",1.2996123,103.7875984
V000298,Agilent Technologies Singapore (Sales) Pte Ltd,1.4401573,103.841009
V000007,AIA Singapore Pte Ltd,1.3545336,103.9422526
V000353,AIG Asia Pacific Insurance Pte.Ltd,1.2731808,103.8453116
V000008,Aik Moh Paints & Chemicals Pte Ltd,1.3199178,103.6527556
V000009,AITbiotech Pte Ltd,1.3071888999999999,103.7572592
V000010,Align Technologies Pte Ltd,1.3344559,103.8858005
V000332,Allen & Gledhill LLP,1.2823499,103.8525199
V000211,Allts (Asia) Pte Ltd,1.3019921,103.8642024
V000610,Alniff Industries Pte Ltd,1.336451,103.908789
V000575,Altara Ventures Fund L.P.,1.298214,103.788538
V000552,Altus Performance Solutions Pte Ltd,1.284952,103.8317248
V000367,Amazin' Graze Pte Ltd,1.325063,103.8940159
V000483,American Express International Inc,1.2797474,103.8538191
V000530,Andaman Medical (Thailand) Ltd,13.7472914,100.540561
V000622,Andaman Medical (Thailand) Ltd,13.7472914,100.540561
V000464,Andaman Medical Bridge Sdn Bhd,5.423249,100.326416
V000561,Andaman Medical Philippines Corporation,40.463667,-3.74922
V000640,Andaman Medical Philippines Corporation,14.443933072891186,120.98031735849672
V000438,Andaman Medical Pte Ltd,1.3522658,103.9418353
V000656,Andivia Pte Ltd,1.3282031,103.7535752
V000382,Ann Tak Express Services (Pte) Ltd,1.2830702999999999,103.8436548
V000492,"Apex 9V, Inc",14.5881741,120.9778793
V000240,Apple South Asia Pte Ltd,1.3893791,103.8449946
V000290,Applied Biological Materials Inc,49.1871117,-123.0736882
V000337,Arch'Lab Pte Ltd,1.3020268,103.8524468
V000479,Arcstone Pte Ltd,1.2755949,103.7974972
V000206,Ark Bio Holding Pte Ltd - NT,1.2823441,103.8510283
V000248,Ark Bio Holding Pte Ltd - NT,1.2823513,103.8509502
V000265,Ark Bio Holding Pte Ltd - NT,1.352083,103.819836
V000644,Armand Dela Cruz ARREZA,14.7690037,120.3204873
V000012,Aroma Chemical Pte Ltd,1.2872162,103.6317073
V000515,Ar-Raudhah Medical Clinic & Surgery Pte Ltd,1.3587254,103.7510736
V000695,Arts Fuzion Pte Ltd,1.3584498,103.8336633
V000258,Asia Gmp Pte Ltd,1.3264794,103.8934616
V000001,Asia Pacific Medical Technology Association Ltd,1.290953,103.784589
V000152,"Association Of Biomedical Laboratory Professionals, Singapore",1.352083,103.819836
V000014,Astar Business Pte Ltd,1.3382477,103.7557994
V000682,ATA Medical Pte Ltd,1.2739669,103.8444453
V000461,Atlas Asia Law Corporation,1.2810987,103.8521397
V000564,Au Grande Enviro Pte Ltd,1.3766742,103.7504106
V000345,Audax Visuals Pte Ltd,1.3248267,103.8934715
V000016,Aun+Wei Design & Engineering Pte Ltd,1.377918,103.875414
V000323,Autopack Pte Ltd,1.3257982,103.8978969
V000013,Axil Scientific Pte Ltd,1.2887138999999999,103.7828177
V000017,Axxis Consulting (S) Pte Ltd,1.3272146,103.8979823
V000018,Bags and Pouches Pte Ltd,1.3363403,103.8840416
V000387,Barrington James Limited,1.2789679999999999,103.851237
V000687,BCD Meetings Events Switzerland AG,47.4144642,8.5504128
V000205,BD Krane Engrg Pte Ltd,1.328539,103.683413
V000652,Bedok Clinic & Surgery (Family Medical Centre),1.3201733,103.9360272
V000516,Bedok Medical Centre Pte. Ltd.,1.319993,103.9348223
V000398,"Beijing Jinwofu Bioengineering Technology Co., Ltd",39.833723,116.2832579
V000593,"Beijing Zizai Technology Co., Ltd",35.86166,104.195397
V000673,Benjamin Ng Boon Lui,1.3104501,103.8008198
V000260,Berlin BioMedical Pte Ltd,1.2760158,103.8459349
V000531,Best Med Private Ltd,1.4461798,103.834442
V000679,Besty Pte Ltd,1.332744,103.7078872
V000021,Beth Israel Deaconess Medical Center (Harvard),42.3400071,-71.105278
V000591,Bethesda Medical Centre Pte Ltd,1.2950300000000001,103.8583026
V000391,Bibi & Baba Pte Ltd,1.2808002,103.818439
V000506,Big 3 Media Pte Ltd,1.3319307999999999,103.853403
V000025,Bio Laboratories Pte Ltd,1.3272146,103.8979823
V000560,BioAcumen Global Pte Ltd,1.3232066,103.8766147
V000499,BioCentury Inc.,37.5433221,-122.2322323
V000024,Biofrontier Technology Pte Ltd,1.3385189,103.7559615
V000507,"BioIVT, LLC",40.7598855,-73.5544436
V000026,Bioplastics BV,50.9085488,6.0422086
V000027,Bioprocessing Technology Institute,1.3038241,103.7921134
V000160,Bio-Rad Laboratories (Singapore) Pte Ltd,1.3270947,103.7461224
V000357,Biotech Unicorn Investment Company Ltd,22.31185,114.1822758
V000029,Biotechrabbit GmbH,52.4298628,13.537714
V000301,BIS International Pte Ltd,1.336195,103.757222
V000691,Bizlink Centre Singapore Ltd,1.3304401,103.9173898
V000245,BMI Business Intelligence Pte Ltd,1.2840981999999999,103.8511501
V000358,BMJ Publishing Group Ltd,51.5072178,-0.12758619999999998
V000524,Boey At Holland V Pte Ltd,1.3111929,103.7955904
V000514,Bok Family Clinic Pte. Ltd.,1.3314046,103.9087348
V000616,Bold Ink Productions Pte Ltd,1.3327925999999999,103.9049583
V000620,Brew Interactive Pte. Ltd.,1.2922656,103.8508075
V000318,Bridges M&C Pte Ltd,1.352083,103.819836
V000383,BSI Group Singapore Pte Ltd,1.2777688999999999,103.8483915
V000572,BT Goh Family Clinic & Surgery,1.3309630000000001,103.8581751
V000536,Bulacan Medical Centre,12.879721,121.774017
V000451,C &C Scientific (S) Pte Ltd,1.4376928,103.8427667
V000462,C&R Interiors Pte Ltd,1.347404,103.8926909
V000508,Cake Avenue Pte Ltd,1.3412998,103.7724437
V000598,Calrose Medical Pte Ltd,1.4022717,103.8920634
V000031,Caltek Pte Ltd,1.3851545,103.8282377
V000032,Cambridge Healthtech Institute,42.2998794,-71.2210086
V000550,Campers' Corner Outdoor Outfitters Pte Ltd,1.3070789999999999,103.8474177
V000351,Canon Singapore Pte Ltd,1.2999207,103.7882673
